Radius	CC
0	0.0
1	-0.17296634227427607
2	0.36244615487251314
3	0.7227433919075041
4	0.7922598286423334
5	0.8319184166775826
6	0.7544410400425654
7	0.6720102058141793
8	0.6802833567567865
9	0.8105908290509798
10	0.8916441724793956
11	0.9116665088966096
12	0.8931101701318961
13	0.8771908180618571
14	0.8599235943327628
15	0.8568101878895565
16	0.853290631447941
17	0.861769965532135
18	0.8445844085742898
19	0.8368452494098746
20	0.8258988777745009
21	0.8201842406757114
22	0.8123024006109294
23	0.8040430281426
24	0.8122983879664721
25	0.8178089891989145
26	0.8298395720648563
27	0.8404472660477766
28	0.8512247885652434
29	0.8554413875099932
30	0.8560174397845006
31	0.8540479057420068
32	0.8429535469758216
33	0.8332762426227505
34	0.8238196406327304
35	0.8212903887839184
36	0.8257252040660804
37	0.8423048589188178
38	0.8588096043947481
39	0.8753580894282879
40	0.8813769569618062
41	0.8863304569598827
42	0.8871926069962469
43	0.883451723322166
44	0.8780110142923176
45	0.8732683723292051
46	0.8754292263704115
47	0.8809581714694962
48	0.8880921722297865
49	0.8943810799811094
50	0.9023956785648797
51	0.9076713657399803
52	0.9110587876269144
53	0.915226979280659
54	0.9159025326059949
55	0.9180052793220312
56	0.917550602679333
57	0.9185899480404008
58	0.9193761363005007
59	0.9213417872090403
60	0.9236411654288806
61	0.9249988342989616
62	0.927270156210716
63	0.9294857411890701
64	0.9309775025181677
65	0.9319388788564342
66	0.9332362446048695
67	0.9335756177998693
68	0.93445724721417
69	0.9348582799473313
70	0.9352727737788892
71	0.9355602175379717
72	0.9349552132417752
73	0.93523385914168
74	0.9340843729830375
75	0.9335073500913506
76	0.9328318577967517
77	0.9322536577213316
78	0.931868921022311
79	0.9311650528005229
80	0.9300379310714799
81	0.9291211736183721
82	0.9281039934266415
83	0.9269608069088406
84	0.9272580008179656
85	0.9276089063027216
86	0.9282139060346153
87	0.9296757677097015
88	0.930723544607911
89	0.9314226271363808
90	0.9312727535504355
91	0.930622249490415
92	0.9305682502854218
93	0.9295374739355718
94	0.9300704200611304
95	0.9304556602413602
96	0.930469850993023
97	0.9313535113285619
98	0.9308101205100555
99	0.9307771151330064
100	0.92965912213091
101	0.9281959687247308
102	0.9274690099743229
103	0.9259391402371512
104	0.9249276833876344
105	0.924124883461659
106	0.923053243314474
107	0.9218635717699997
108	0.9204409121364824
109	0.9188424763462156
110	0.9170205431854321
111	0.9161336945041264
112	0.914396419305836
113	0.9127184577591622
114	0.9106470444747014
115	0.9087965402412093
116	0.906530364685538
117	0.9046448620557286
118	0.9028373096064084
119	0.9009777330705794
120	0.8987314536539917
121	0.897175962372247
122	0.8957382369118854
123	0.8953347988637819
124	0.8945873192147561
125	0.8931890841819793
126	0.8922714607873956
127	0.8896706714395918
128	0.887642147312118
129	0.8855886801973054
130	0.8831796266922456
131	0.8831463227049076
132	0.8823945353778443
133	0.882881828458903
134	0.8835837755213968
135	0.8837906532664866
136	0.8841946634850122
137	0.8831874044583501
138	0.8820718907576173
139	0.8806869631376402
140	0.8796303488571972
141	0.8789189996589233
142	0.878522710832262
143	0.8778095476605116
144	0.8772302493247588
145	0.8772775946893394
146	0.8773166897245279
147	0.8778382309760148
148	0.8789626056098275
149	0.8796410947666077
150	0.8799554150215938
151	0.8798169767618131
152	0.8793698489369763
153	0.8795987901959823
154	0.8796025953221945
155	0.8794963209333606
156	0.8799423358066503
157	0.8807941727000619
158	0.8822842592448963
159	0.8830945236378934
160	0.8850326929705412
161	0.8857362357558716
162	0.8872238008184173
163	0.8873307422215913
164	0.8879823726435053
165	0.8885948194184868
166	0.8896859905594203
167	0.8910154376956976
168	0.8930188651051636
169	0.8952126146341037
170	0.8971614268730318
171	0.8983507175984373
172	0.8987629059567266
173	0.8994748298681332
174	0.8998757832515356
175	0.9009201863580686
176	0.9023621317782557
177	0.9035608663140612
178	0.9047047449385405
179	0.905325382638213
180	0.9058309403892952
181	0.9059449643322406
182	0.9061587160215123
183	0.9057635733884116
184	0.9060225821259639
185	0.9054848706891556
186	0.9053037340035676
187	0.9042043779994596
188	0.9035107074371282
189	0.9028282970575511
190	0.9021987792483759
191	0.9018669647779036
192	0.9022042246760873
193	0.9020226609484485
194	0.9021114925918852
195	0.9015987294964574
196	0.9007485591817924
197	0.8998560429545924
198	0.8987668797697178
199	0.897857052080525
200	0.8976095696712613
201	0.8961144599698644
202	0.895687249863278
203	0.8956859725417696
204	0.8963271528249191
205	0.8967925909817972
206	0.8968655596637195
207	0.8968304732783879
208	0.8961977556854228
209	0.8953781275715184
210	0.8942825712615029
211	0.8933569875847359
212	0.8939155027844747
213	0.8934982660377638
214	0.8949301019989192
215	0.8971636275990538
216	0.8994809941404198
217	0.9024784284034039
218	0.9044925084122429
219	0.9059803325460734
220	0.9068324182504625
221	0.9077858818245074
222	0.9087476663703419
223	0.9107455192304806
224	0.9128106410468543
225	0.9139836067707329
226	0.9155491280143194
227	0.9162186056376563
228	0.9173078443426871
229	0.9190009555716264
230	0.9197171028751814
231	0.9218136913824617
232	0.9226688306239138
233	0.9242424953065131
234	0.9245621400688178
235	0.9252734749343537
236	0.9253636469441519
237	0.9250466503293175
238	0.925207047765397
239	0.925317935104788
240	0.925875844257495
241	0.9258522737320777
242	0.9266441852670785
243	0.9275815458139023
244	0.9286246937584924
245	0.929186935098605
246	0.9280709574426073
247	0.9265852607087083
248	0.926286426806025
249	0.9251978809213944
250	0.9261102358156382
251	0.9283325034229498
252	0.9301289670871602
253	0.9343511882996112
254	0.9364114865121331
255	0.9388979150616222
256	0.9392278200512819
257	0.9393709577493478
258	0.9400982402452541
259	0.9402622734827045
260	0.9443011366544419
261	0.9457749959177316
262	0.9494908142273952
263	0.9523232614381613
264	0.9535856453953759
265	0.9563900849748429
266	0.955304979855443
267	0.957600090537708
268	0.9573966319049487
269	0.9586834475529331
270	0.9594543993367729
271	0.9596354759166087
272	0.9601462094723237
273	0.9602598513534294
274	0.959613377768369
275	0.9585788890501346
276	0.955571922859328
277	0.9546934765158589
278	0.9519222567812821
279	0.9504023072881099
280	0.9477487649555218
281	0.942875322888695
282	0.9381177243385004
283	0.932753649142659
284	0.9276827422846814
285	0.9257168052182905
286	0.9231815843775186
287	0.9188891368693352
288	0.9123436026014766
289	0.9073676372568075
290	0.9031651594501543
291	0.9019409583943085
292	0.9024819607349596
293	0.9047733632910664
294	0.9045326478925579
295	0.9035291880122744
296	0.9021360050751838
297	0.9025030098595994
298	0.9022173019953589
299	0.904148291016517
300	0.9100278613302307
301	0.9164436054510894
302	0.9196131764844949
303	0.9197516217930318
304	0.9200541707282309
305	0.9204145545317749
306	0.9203574858534253
307	0.9177184682809326
308	0.9167794266109581
309	0.9171023208407195
310	0.9171525487324959
311	0.9191726001291349
312	0.9202118432062358
313	0.9194262891464633
314	0.92109813405052
315	0.9199262961426027
316	0.9136988187302233
317	0.9104633856273925
318	0.9123431338941357
319	0.910137891478598
320	0.9035817393282013
321	0.8943512346607533
322	0.8954896946034346
323	0.895811904932669
324	0.9081705240209829
325	0.9155972420261258
326	0.9135901573228106
327	0.9102556340882761
328	0.9149068287627509
329	0.9164908011719898
330	0.9199702975930131
331	0.9281526702245557
332	0.9389166793522778
333	0.9445427897512657
334	0.9509679096811489
335	0.9505302760381605
336	0.9537101439994918
337	0.9539097174278514
338	0.9430253123864611
339	0.910084579565445
340	0.8807196657070265
341	0.8483000076598172
342	0.763953887385271
343	0.6900606003806228
344	0.6801712845099681
345	0.6883819890289896
346	0.6525845526303622
